year,county,cause,sex,age_code,N
95,0101,06,2,20,1
95,0101,06,2,21,1
95,0101,06,1,23,1
95,0101,10,1,08,1
95,0101,10,1,10,1
95,0101,10,2,10,1
95,0101,10,2,12,2
95,0101,10,1,13,1
95,0101,10,2,13,3
95,0101,10,1,14,3
95,0101,10,2,14,4
95,0101,10,2,15,7
95,0101,10,1,15,12
95,0101,10,1,16,12
95,0101,10,2,16,20
95,0101,10,2,17,15
95,0101,10,1,17,21
95,0101,10,2,18,13
95,0101,10,1,18,13
95,0101,10,2,19,13
95,0101,10,1,19,18
95,0101,10,2,20,17
95,0101,10,1,20,23
95,0101,10,1,21,29
95,0101,10,2,21,21
95,0101,10,1,22,39
95,0101,10,2,22,17
95,0101,10,1,23,15
95,0101,10,2,23,10
95,0101,10,1,24,7
95,0101,10,2,24,4
95,0101,10,1,25,2
95,0101,10,2,25,1
95,0101,11,1,14,1
95,0101,11,1,15,2
95,0101,11,1,16,1
95,0101,11,2,16,1
95,0101,11,1,19,1
95,0101,11,2,19,4
95,0101,11,2,20,4
95,0101,11,1,20,4
95,0101,11,2,21,6
95,0101,11,1,21,8
95,0101,11,1,22,12
95,0101,11,2,22,4
95,0101,11,2,23,4
95,0101,11,1,23,9
95,0101,11,1,24,2
95,0101,11,2,24,1
95,0101,11,2,25,1
95,0101,13,1,21,1
95,0101,14,1,20,1
95,0101,14,1,21,1
95,0101,14,2,21,2
95,0101,16,1,10,1
95,0101,16,1,11,1
95,0101,16,1,14,3
95,0101,16,2,15,1
95,0101,16,1,15,1
95,0101,16,1,16,2
95,0101,16,2,16,1
95,0101,16,1,17,4
95,0101,16,2,18,2
95,0101,16,1,18,2
95,0101,16,2,19,5
95,0101,16,1,19,4
95,0101,16,2,20,3
95,0101,16,1,20,11
95,0101,16,2,21,6
95,0101,16,1,21,2
95,0101,16,1,22,14
95,0101,16,2,22,7
95,0101,16,1,23,14
95,0101,16,2,23,7
95,0101,16,2,24,4
95,0101,16,1,24,8
95,0101,16,1,25,1
95,0101,17,1,19,2
95,0101,17,1,21,2
95,0101,17,2,21,1
95,0101,17,2,22,2
95,0101,17,1,22,2
95,0101,17,1,23,2
95,0101,17,2,23,3
95,0101,17,2,24,2
95,0101,17,2,25,1
95,0101,18,1,08,1
95,0101,18,1,13,1
95,0101,18,2,13,1
95,0101,18,1,16,3
95,0101,18,1,17,2
95,0101,18,1,18,2
95,0101,18,1,19,4
95,0101,18,1,20,3
95,0101,18,2,20,3
95,0101,18,1,21,13
95,0101,18,2,21,6
95,0101,18,2,22,9
95,0101,18,1,22,6
95,0101,18,1,23,9
95,0101,18,2,23,3
95,0101,18,2,24,3
95,0101,18,1,24,3
95,0101,18,2,25,1
95,0101,19,1,21,1
95,0101,20,1,13,1
95,0101,20,1,16,1
95,0101,20,1,17,1
95,0101,20,2,19,1
95,0101,20,1,20,2
95,0101,20,1,21,1
95,0101,20,2,21,1
95,0101,20,1,22,4
95,0101,20,2,22,5
95,0101,20,1,23,2
95,0101,20,2,23,2
95,0101,20,2,24,4
95,0101,20,1,24,3
95,0101,22,2,16,1
95,0101,22,1,17,1
95,0101,22,2,18,1
95,0101,22,1,22,3
95,0101,22,2,22,2
95,0101,23,1,16,1
95,0101,23,2,17,1
95,0101,23,2,19,1
95,0101,23,1,20,1
95,0101,23,1,22,1
95,0101,23,1,23,1
95,0101,25,1,12,1
95,0101,25,1,15,2
95,0101,25,1,16,5
95,0101,25,1,17,4
95,0101,25,2,18,1
95,0101,25,1,19,1
95,0101,25,2,19,2
95,0101,25,2,20,2
95,0101,25,2,21,1
95,0101,25,2,22,2
95,0101,25,1,22,3
95,0101,25,2,23,1
95,0101,25,1,24,1
95,0101,26,1,16,1
95,0101,26,2,16,1
95,0101,26,2,18,1
95,0101,26,2,20,1
95,0101,26,1,20,3
95,0101,26,2,21,3
95,0101,26,1,21,3
95,0101,26,2,22,3
95,0101,26,1,22,4
95,0101,26,2,23,1
95,0101,26,1,23,3
95,0101,26,2,25,2
95,0101,30,2,01,1
95,0101,31,2,01,4
95,0101,31,2,02,1
95,0101,32,1,05,1
95,0101,32,1,09,1
95,0101,32,2,09,2
95,0101,32,1,10,2
95,0101,32,1,11,3
95,0101,32,2,11,1
95,0101,32,1,12,3
95,0101,32,2,13,1
95,0101,32,1,13,2
95,0101,32,2,14,1
95,0101,32,1,15,3
95,0101,32,1,16,1
95,0101,32,1,17,1
95,0101,32,1,19,2
95,0101,32,1,20,1
95,0101,32,2,20,1
95,0101,32,1,21,3
95,0101,32,1,22,3
95,0101,32,2,22,1
95,0101,32,1,23,1
