region,100,101,102,103,104,105,106,107,108
總計,"519,984","527,250","533,601","540,023","546,698","553,228","559,426","565,561","571,427"
新北市,"50,488","51,923","52,892","53,418","54,162","54,882","55,376","55,607","56,592"
板橋區,"3,865","3,935","4,001","4,103","4,162","4,178","4,244","4,294","4,301"
三重區,"2,010","2,076","2,124","2,176","2,215","2,291","2,371","2,416","2,497"
中和區,"2,547","2,660","2,704","2,748","2,815","2,889","2,959","2,996","3,070"
永和區,833,886,909,921,910,946,995,"1,023","1,037"
新莊區,"4,829","4,969","5,115","5,172","5,229","5,271","5,334","5,311","5,354"
新店區,"3,175","3,266","3,358","3,377","3,377","3,454","3,468","3,493","3,506"
樹林區,"6,078","6,250","6,314","6,281","6,317","6,380","6,389","6,298","6,330"
鶯歌區,"2,617","2,669","2,723","2,709","2,878","2,895","2,887","2,832","2,867"
三峽區,"2,605","2,700","2,764","2,805","2,793","2,871","2,913","2,991","3,041"
淡水區,"1,504","1,588","1,642","1,706","1,770","1,835","1,880","1,911","2,041"
汐止區,"4,252","4,335","4,402","4,359","4,430","4,502","4,480","4,408","4,484"
瑞芳區,"1,158","1,162","1,202","1,237","1,255","1,231","1,244","1,254","1,237"
土城區,"4,138","4,186","4,215","4,233","4,230","4,206","4,182","4,180","4,172"
蘆洲區,"1,923","2,007","2,030","2,022","2,077","2,088","2,097","2,090","2,104"
五股區,"1,638","1,689","1,751","1,764","1,779","1,836","1,841","1,872","1,940"
泰山區,"1,168","1,244","1,240","1,293","1,290","1,295","1,271","1,268","1,295"
林口區,"1,589","1,664","1,747","1,790","1,837","1,860","1,890","1,962","2,219"
深坑區,230,233,225,217,222,225,214,214,233
石碇區,30,34,34,34,35,34,36,38,38
坪林區,13,20,18,18,18,21,17,14,20
三芝區,308,299,294,301,318,326,350,348,356
石門區,54,56,53,47,52,55,49,54,52
八里區,756,782,792,806,828,833,857,876,906
平溪區,23,27,27,26,25,24,24,23,22
雙溪區,27,28,21,22,14,16,20,25,26
貢寮區,71,73,73,75,77,74,84,87,87
金山區,102,103,110,111,110,125,126,136,133
萬里區,279,287,277,290,307,304,296,292,298
烏來區,"2,666","2,695","2,727","2,775","2,792","2,817","2,858","2,901","2,926"
臺北市,"14,340","14,817","15,235","15,581","15,883","16,181","16,456","16,713","16,996"
松山區,780,812,831,870,878,900,915,937,942
信義區,829,865,903,966,986,"1,033","1,068","1,091","1,113"
大安區,968,"1,052","1,063","1,067","1,078","1,094","1,140","1,167","1,139"
中山區,"1,260","1,265","1,351","1,366","1,400","1,404","1,438","1,448","1,461"
中正區,573,584,625,645,656,699,704,699,725
大同區,531,546,576,633,658,650,686,698,730
萬華區,"1,129","1,180","1,235","1,275","1,278","1,327","1,332","1,373","1,416"
文山區,"1,761","1,833","1,905","1,905","1,975","2,025","2,046","2,112","2,217"
南港區,"1,402","1,429","1,462","1,453","1,500","1,513","1,517","1,502","1,460"
內湖區,"2,433","2,437","2,426","2,424","2,417","2,373","2,414","2,433","2,479"
士林區,"1,300","1,357","1,396","1,451","1,508","1,598","1,602","1,635","1,665"
北投區,"1,374","1,457","1,462","1,526","1,549","1,565","1,594","1,618","1,649"
臺中市,"28,817","29,754","30,460","30,948","67,748","69,896","72,140","73,874","75,872"
中區,96,101,116,116,"7,069","7,367","7,657","7,874","8,113"
東區,537,578,607,607,"8,151","8,403","8,746","9,033","9,364"
南區,778,815,835,835,"3,372","7,210","7,204","7,134","7,207"
西區,454,444,461,461,"4,289","4,109","4,315","4,410","4,544"
北區,998,"1,041","1,095","1,095","6,831","4,394","4,616","4,762","4,881"
西屯區,"1,603","1,624","1,665","1,665","6,833","3,482","3,599","3,603","3,746"
南屯區,"1,047","1,124","1,119","1,119","3,740","7,037","7,227","7,351","7,479"
北屯區,"2,277","2,355","2,411","2,411","3,898","7,167","7,466","7,602","7,834"
豐原區,"1,301","1,310","1,358","1,358","6,412","3,861","3,985","4,075","4,288"
東勢區,605,617,642,642,"7,084","6,507","6,629","6,821","7,014"
大甲區,232,236,248,248,691,710,717,760,779
清水區,418,425,453,453,"1,577","1,663","1,749","1,833","1,898"
沙鹿區,757,817,874,874,"7,801","7,986","8,230","8,616","8,725"
梧棲區,836,856,868,868,"32,146","33,049","33,903","34,514","35,297"
后里區,496,500,518,518,126,123,128,131,137
神岡區,866,912,889,889,627,657,685,709,722
潭子區,"1,433","1,478","1,503","1,503",917,920,952,999,"1,032"
大雅區,"1,958","2,023","2,031","2,031",475,488,509,545,540
新社區,225,241,252,252,"1,139","1,185","1,253","1,286","1,310"
石岡區,81,96,99,99,"1,751","1,791","1,842","1,886","1,951"
外埔區,206,209,213,213,"1,222","1,199","1,222","1,275","1,303"
大安區,46,55,61,61,"2,523","2,658","2,752","2,830","2,910"
烏日區,676,729,756,756,"1,479","1,506","1,522","1,552","1,573"
大肚區,"1,296","1,326","1,370","1,370",643,650,687,688,715
龍井區,877,906,897,897,271,262,283,287,294
霧峰區,471,496,536,536,482,525,521,589,611
太平區,"2,514","2,636","2,675","2,675",905,900,939,"1,003","1,050"
大里區,"1,715","1,796","1,870","1,870",908,921,933,931,949
和平區,"4,018","4,008","4,038","4,038",556,591,610,627,640
臺南市,"6,113","6,424","6,749","6,957",973,"1,012","1,024","1,021","1,013"
新營區,211,220,227,225,"1,559","1,614","1,646","1,632","1,700"
鹽水區,69,67,70,71,"2,194","2,249","2,270","2,284","2,320"
白河區,63,55,52,54,271,274,297,301,290
柳營區,43,45,46,47,81,98,97,99,105
後壁區,33,39,40,43,215,221,222,217,217
東山區,54,60,60,66,69,72,74,73,73
麻豆區,79,85,91,99,845,877,877,904,933
下營區,51,64,63,65,"1,451","1,479","1,525","1,512","1,539"
六甲區,43,44,51,51,960,"1,001","1,040","1,046","1,070"
官田區,113,123,133,138,598,601,624,635,690
大內區,20,21,24,24,"2,845","2,940","3,028","3,051","3,206"
佳里區,122,131,125,128,"1,904","2,053","2,073","2,096","2,113"
學甲區,47,48,47,57,"4,157","4,182","4,268","4,305","4,291"
西港區,27,31,36,47,"7,253","7,525","7,738","7,938","8,201"
七股區,45,44,50,53,257,266,269,269,278
將軍區,31,36,39,40,81,88,83,87,85
北門區,13,13,18,21,57,53,58,63,66
新化區,120,134,131,135,55,60,75,72,76
善化區,186,196,218,203,49,55,55,65,64
新市區,72,78,86,81,67,70,65,58,58
安定區,91,98,97,99,100,105,115,127,135
