region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
0101,0.0641,0.0579,0.0842,0.0713,0.0547,0.0611,0.0568,0.0555,0.0552
0102,0.0816,0.0665,0.0818,0.09,0.0742,0.0823,0.0711,0.0557,0.0729
0109,0.0904,0.0751,0.0851,0.0711,0.0653,0.0662,0.0481,0.0444,0.0479
0110,0.0524,0.0593,0.0481,0.0498,0.0414,0.0484,0.0362,0.0435,0.0349
0111,0.0284,0.0316,0.0272,0.0252,0.0174,0.0291,0.0207,0.0222,0.0282
0112,0.0257,0.0273,0.0219,0.0268,0.0187,0.0231,0.0178,0.0186,0.0205
0115,0.0638,0.0752,0.0759,0.0627,0.0703,0.0563,0.0524,0.0544,0.0517
0116,0.0495,0.0638,0.0609,0.0636,0.0562,0.0537,0.0527,0.0402,0.057
0117,0.0591,0.0728,0.0775,0.0714,0.069,0.0697,0.0693,0.0486,0.0539
0118,0.0663,0.0668,0.0752,0.0698,0.0777,0.0773,0.0653,0.0372,0.0455
0119,0.0957,0.0763,0.0713,0.0784,0.072,0.0723,0.0601,0.0634,0.048
0120,0.046,0.0442,0.0478,0.043,0.0354,0.036,0.0318,0.0374,0.0266
0301,0.0461,0.0405,0.0376,0.0523,0.0112,0.0189,0.0178,0.0194,0.0196
0302,0.0612,0.0438,0.0389,0.0452,0.0049,0.0058,0.005,0.0051,0.0046
0303,0.1379,0.1102,0.1129,0.1048,0.0405,0.0408,0.0363,0.0513,0.0488
0304,0.11,0.0894,0.0486,0.1038,0.0273,0.0235,0.028,0.0322,0.0295
0305,0.0383,0.0588,0.0309,0.0561,0.0022,0.0034,0.004,0.0034,0.0044
0306,0.0239,0.0327,0.0253,0.0265,0.0008,0.0005,0.0007,0.001,0.0011
0307,0.0524,0.042,0.0521,0.0521,0.1111,0.2033,0.0859,0.145,0.1606
0308,0.0277,0.0252,0.0281,0.0315,0.059,0.0426,0.035,0.0409,0.036
0309,0.0251,0.025,0.0146,0.0186,0.0327,0.0283,0.0368,0.024,0.0504
0310,0.0138,0.0208,0.0226,0.0153,0.08,0.0861,0.0609,0.0642,0.0759
0311,0.0489,0.0581,0.0595,0.0437,0.0149,0.0135,0.0112,0.0109,0.0168
0312,0.1358,0.1042,0.1111,0.0606,0.0023,0.0073,0.0065,0.0048,0.0051
0313,0.0534,0.0957,0.0704,0.0657,0.0131,0.0133,0.0115,0.0149,0.0153
0314,0.3261,0.1273,0.2131,0.082,0.0044,0.003,0.0022,0.0046,0.0017
0315,0.0325,0.0508,0.0423,0.0503,0.0284,0.0212,0.0177,0.0155,0.0229
0316,0.0139,0.0158,0.0175,0.0131,0.0187,0.0262,0.0277,0.0276,0.028
