region,Diabetes_2016,Diabetes_2017,Diabetes_2018,Diabetes_2019
639496,25.1,23.9,23.9,25.4
681666,31.0,30.3,30.3,30.8
660018,24.8,22.5,22.5,21.6
107000,45.9,44.1,44.1,45.2
653000,29.3,29.6,29.6,29.3
1207875,33.6,29.9,29.9,31.8
668196,26.2,26.4,26.4,27.6
177256,40.0,41.3,41.3,42.9
669084,25.9,22.6,22.6,24.4
427820,28.3,29.6,29.6,29.1
626000,23.1,23.0,23.0,22.4
684200,25.9,26.0,26.0,24.6
843000,24.6,23.3,23.3,24.4
1216475,26.7,27.1,27.1,28.3
614218,27.7,27.2,27.2,27.1
600562,24.3,23.8,23.8,23.6
613014,29.9,28.2,28.2,27.6
600884,26.2,26.4,26.4,24.8
622804,27.3,28.1,28.1,29.4
465000,25.6,24.6,24.6,24.1
665042,28.8,26.2,26.2,27.1
672016,27.8,25.4,25.4,26.3
877290,26.0,25.2,25.2,24.6
524550,37.6,37.3,37.3,36.5
616532,26.8,25.9,25.9,27.3
655156,29.6,30.2,30.2,28.8
832155,28.1,26.7,26.7,28.3
627000,31.4,31.5,31.5,31.2
646898,34.5,31.7,31.7,32.5
603526,31.6,27.6,27.6,31.3
955990,28.8,25.7,25.7,25.6
662938,26.1,25.3,25.3,25.6
669088,25.3,24.8,24.8,23.7
650076,28.3,27.1,27.1,27.3
807850,23.1,22.6,22.6,21.6
632548,31.1,31.4,31.4,30.0
680238,30.2,28.2,28.2,26.6
653322,26.4,26.9,26.9,28.4
680812,28.4,29.2,29.2,27.7
668252,24.5,25.1,25.1,25.8
135896,31.9,29.7,29.7,31.4
644000,28.9,28.5,28.5,27.1
203000,30.2,29.2,29.2,30.3
630000,26.7,26.0,26.0,24.8
668378,25.4,21.9,21.9,20.7
650258,27.0,26.5,26.5,26.6
660102,25.3,25.7,25.7,26.1
602364,29.0,30.8,30.8,29.3
613210,27.4,28.9,28.9,27.4
918430,28.3,26.2,26.2,25.9
639892,25.8,25.8,25.8,24.5
535710,36.3,35.7,35.7,35.1
681554,28.2,27.6,27.6,28.7
973000,29.2,25.6,25.6,25.3
608786,26.9,26.3,26.3,28.0
654652,30.7,29.7,29.7,30.4
636000,25.4,24.1,24.1,25.5
658072,29.2,29.6,29.6,28.3
862000,29.7,29.0,29.0,29.1
427400,25.3,25.2,25.2,24.7
623182,29.7,28.8,28.8,29.5
1207300,29.1,24.2,24.2,25.8
682996,27.1,28.1,28.1,29.3
665000,32.5,35.0,35.0,33.3
670098,26.3,26.5,26.5,24.5
646842,28.8,28.4,28.4,28.5
657792,22.5,21.8,21.8,21.7
1214400,27.6,28.0,28.0,29.2
455000,28.9,29.7,29.7,29.0
678120,28.2,26.5,26.5,26.7
613588,28.9,29.6,29.6,29.2
680854,26.6,25.4,25.4,26.4
643000,28.8,28.5,28.5,27.1
677000,25.4,21.9,21.9,23.7
662000,31.1,29.8,29.8,29.7
137000,36.7,36.3,36.3,36.9
980000,32.6,34.6,34.6,34.1
606000,25.9,24.5,24.5,24.6
608954,25.4,24.9,24.9,23.9
812815,23.7,23.2,23.2,22.7
616350,29.1,27.9,27.9,28.4
937000,39.5,38.9,38.9,37.6
633434,29.8,31.9,31.9,30.4
477000,29.6,27.9,27.9,28.9
816000,27.5,24.9,24.9,25.7
541000,38.2,37.4,37.4,38.0
616000,27.5,25.9,25.9,24.3
629000,27.4,27.7,27.7,28.7
669000,28.6,29.7,29.7,30.8
602252,29.7,28.5,28.5,27.2
640130,30.0,30.8,30.8,29.7
454050,26.1,26.6,26.6,26.1
624638,27.1,26.3,26.3,26.2
685292,25.5,25.5,25.5,24.6
621712,28.5,29.1,29.1,31.0
651182,25.1,22.2,22.2,23.5
908000,34.4,32.5,32.5,32.0
1212875,30.9,28.4,28.4,31.0
668000,26.6,24.2,24.2,26.0
648354,29.5,30.6,30.6,28.6
645484,30.5,29.0,29.0,27.6
404720,28.4,30.0,30.0,29.3
613214,25.6,25.9,25.9,24.3
659451,26.9,27.6,27.6,26.2
660466,30.7,33.0,33.0,31.1
682954,28.9,28.7,28.7,28.8
653980,26.3,25.6,25.6,26.8
636448,30.9,30.1,30.1,30.3
846465,22.9,22.6,22.6,24.4
664224,30.1,29.4,29.4,30.0
678582,27.6,24.4,24.4,25.2
681204,24.2,25.0,25.0,24.4
150000,43.0,41.0,41.0,41.2
648256,24.8,23.2,23.2,24.5
1077580,39.4,38.3,38.3,40.5
611194,24.8,23.3,23.3,24.6
950370,33.4,33.1,33.1,32.2
667000,25.9,25.5,25.5,25.2
670000,25.8,23.4,23.4,22.4
803455,23.8,22.6,22.6,23.6
619766,26.4,26.7,26.7,25.4
633182,32.1,31.8,31.8,31.7
485540,31.7,31.2,31.2,29.6
820000,27.3,25.9,25.9,26.2
656700,33.1,33.0,33.0,32.8
622020,28.7,28.6,28.6,28.1
636546,34.3,34.6,34.6,33.0
473000,28.2,27.7,27.7,27.4
675000,33.9,32.0,32.0,30.3
604982,28.8,29.3,29.3,27.5
845970,22.5,23.7,23.7,22.5
446000,27.5,28.4,28.4,27.9
641992,22.9,23.4,23.4,23.4
1216725,30.7,31.7,31.7,32.8
684550,27.6,27.8,27.8,28.7
615044,34.5,35.5,35.5,34.1
659920,27.1,27.8,27.8,28.2
652526,26.8,27.6,27.6,26.4
660620,32.3,30.8,30.8,29.3
613392,26.1,26.6,26.6,28.4
602000,27.5,27.2,27.2,28.4
883835,25.1,23.7,23.7,23.7
624680,29.2,31.1,31.1,29.2
668084,25.2,26.5,26.5,26.4
1210275,28.2,26.9,26.9,29.7
682590,31.5,33.6,33.6,31.8
566080,32.5,34.8,34.8,35.8
412000,26.0,26.1,26.1,25.6
644574,31.2,32.4,32.4,30.7
669070,27.1,26.3,26.3,25.3
628000,26.9,25.7,25.7,26.9
649270,32.8,32.2,32.2,31.9
827425,23.9,22.6,22.6,24.4
611530,28.7,28.8,28.8,27.4
1150000,31.2,31.1,31.1,30.9
804000,28.1,28.5,28.5,27.9
603666,27.4,28.6,28.6,26.7
622230,28.7,30.2,30.2,28.5
523290,32.2,32.6,32.6,34.7
664000,31.9,31.7,31.7,31.2
151000,40.6,40.8,40.8,41.8
673080,28.0,29.6,29.6,28.1
681344,27.5,28.6,28.6,26.7
647766,25.5,23.4,23.4,25.0
656000,27.4,25.9,25.9,24.9
680000,24.9,23.7,23.7,22.5
617918,25.0,26.4,26.4,26.4
471510,26.3,27.0,27.0,26.5
952000,35.8,36.1,36.1,35.5
636770,25.7,23.2,23.2,24.5
633000,25.7,27.2,27.2,26.7
653896,28.8,30.9,30.9,29.1
666000,26.7,26.1,26.1,27.8
669196,29.4,31.0,31.0,29.5
649670,25.7,21.8,21.8,23.8
659962,26.8,27.5,27.5,26.4
1871000,34.4,35.9,35.9,36.0
3006550,26.9,26.9,26.9,24.2
2555745,27.4,28.3,28.3,27.7
1217200,32.2,30.7,30.7,32.4
2255000,41.2,39.3,39.3,40.0
3684000,30.8,28.0,28.0,28.8
2674900,37.8,37.3,37.3,35.6
1235000,33.0,33.7,33.7,33.5
2688940,32.6,30.4,30.4,30.0
1245000,32.4,31.1,31.1,31.5
1768003,24.1,26.0,26.0,25.1
3231900,27.4,24.0,24.0,28.3
3451000,39.0,38.6,38.6,40.0
3714100,33.8,32.8,32.8,31.2
1703012,29.9,30.4,30.4,30.9
1271000,36.3,32.0,32.0,34.2
15003,26.4,30.0,30.0,28.8
1276600,34.4,30.3,30.3,32.2
1751622,25.7,25.1,25.1,26.8
1253000,33.2,32.8,32.8,33.1
2634000,35.9,32.7,32.7,32.1
2751730,23.2,22.1,22.1,21.1
3474630,30.0,32.5,32.5,34.2
1258715,31.0,28.9,28.9,30.7
1714000,31.5,34.1,34.1,32.8
2509000,34.4,35.4,35.4,32.5
3436000,31.6,32.5,32.5,34.1
1772000,32.9,31.2,31.2,32.5
2052575,26.7,26.9,26.9,26.4
1304204,41.9,40.4,40.4,38.0
3649121,37.5,33.9,33.9,34.5
2621000,32.3,32.1,32.1,32.8
2706616,24.4,24.0,24.0,22.6
2205000,41.6,40.2,40.2,42.4
3345140,28.4,28.8,28.8,28.8
1822000,35.9,32.8,32.8,35.8
2938000,32.9,34.1,34.1,31.9
2270000,43.5,42.1,42.1,41.4
2941348,27.2,27.5,27.5,25.3
2676460,32.4,30.0,30.0,31.1
1224000,31.2,31.4,31.4,32.6
