,ward code,Obesity Prevalence
0,E05000026,0.42714715
1,E05000027,0.8695704
2,E05000028,0.3572095
3,E05000029,0.3965191
4,E05000030,0.8402203
5,E05000031,0.36605227
6,E05000032,0.7031395
7,E05000033,0.752093
8,E05000034,0.3962797
9,E05000035,0.461481
10,E05000036,0.80884796
11,E05000037,0.49014142
12,E05000038,0.5169869
13,E05000039,0.23266548
14,E05000040,0.4353864
15,E05000041,0.37902203
16,E05000042,0.20422062
17,E05000043,0.42415097
18,E05000044,0.7911505
19,E05000045,0.5912686
20,E05000046,0.26435155
21,E05000047,0.3763032
22,E05000048,0.64706624
23,E05000049,0.68411875
24,E05000050,0.42161888
25,E05000051,0.45044574
26,E05000052,0.6356898
27,E05000053,0.29990834
28,E05000054,0.3022462
29,E05000055,0.58757037
30,E05000056,0.31595802
31,E05000057,0.26145977
32,E05000058,0.3772093
33,E05000059,0.69804084
34,E05000060,0.40401298
35,E05000061,0.3079093
36,E05000062,0.2907384
37,E05000063,0.5334539
38,E05000064,0.49721083
39,E05000065,0.585956
40,E05000066,0.3661157
41,E05000067,0.48328447
42,E05000068,0.4150614
43,E05000069,0.3799999
44,E05000070,0.08523068
45,E05000071,0.43208584
46,E05000072,0.5602183
47,E05000073,0.7856145
48,E05000074,0.6227556
49,E05000075,0.32262984
50,E05000076,0.14852059
51,E05000077,0.22463813
52,E05000078,0.40073782
53,E05000079,0.8353145
54,E05000080,0.50982153
55,E05000081,0.31679064
56,E05000082,0.24480164
57,E05000083,0.53602654
58,E05000084,0.7321514
59,E05000085,0.33102563
60,E05000086,0.80700564
61,E05000087,0.34418604
62,E05000088,0.3688392
63,E05000089,0.35598004
64,E05000090,0.53015655
65,E05000091,0.22457817
66,E05000092,0.43066952
67,E05000093,0.41905257
68,E05000094,0.41841912
69,E05000095,0.17815232
70,E05000096,0.5115819
71,E05000097,0.5353278
72,E05000098,0.61319846
73,E05000099,0.31181437
74,E05000100,0.53483254
75,E05000101,0.51417905
76,E05000102,0.37504643
77,E05000103,0.6977322
78,E05000104,0.3288207
79,E05000105,0.25244552
80,E05000106,0.32519493
81,E05000107,0.36957705
82,E05000108,0.39181545
83,E05000109,0.21906976
84,E05000110,0.53021437
85,E05000111,0.34372094
86,E05000112,0.46101293
87,E05000113,0.5747747
88,E05000114,0.530926
89,E05000115,0.34953767
90,E05000116,0.7080518
91,E05000117,0.8071049
92,E05000118,0.75815976
93,E05000119,0.7003442
94,E05000120,0.3157434
95,E05000121,0.5683628
96,E05000122,0.38450417
97,E05000123,0.28572267
98,E05000124,0.7996906
99,E05000125,0.3483759
100,E05000126,0.48371068
101,E05000127,0.25508708
102,E05000128,0.50230294
103,E05000129,0.16651163
104,E05000130,0.14666614
105,E05000131,0.46723357
106,E05000132,0.61845624
107,E05000133,0.3813876
108,E05000134,0.4862105
109,E05000135,0.37373704
110,E05000136,0.3772093
111,E05000137,0.29201436
112,E05000138,0.22627711
113,E05000139,0.23622143
114,E05000140,0.29045665
115,E05000141,0.46703476
116,E05000142,0.4124521
117,E05000143,0.32465115
118,E05000144,0.38644302
119,E05000145,0.6014149
120,E05000146,0.83112526
121,E05000147,0.5648668
122,E05000148,0.0
123,E05000149,0.4349462
124,E05000150,0.6966981
125,E05000151,0.37663895
126,E05000152,0.33395475
127,E05000153,0.27162793
128,E05000154,0.0
129,E05000155,0.47343078
130,E05000156,0.2732051
131,E05000157,0.34311435
